order.recorded,experiment,paper,application.date,measurement.date,dwe.Mg.ha.emp,dwe.Mg.ha.est,amendment.tilled.in,amendment.cat.agg,amendment.cat.det,amendment.CtoN.emp,amendment.CtoN.est,amendment.orgC.emp,amendment.orgC.est,amendment.totN.emp,amendment.totN.est,amendment.nh4.emp,amendment.nh4.est,amendment.no3.emp,amendment.no3.est,amendment.availP.emp,amendment.availP.est,amendment.totP.emp,amendment.totP.est,amendment.availK.emp,amendment.availK.est,amendment.totK.emp,amendment.totK.est,amendment.Fe.emp,amendment.Fe.est,amendment.Pb.emp,amendment.Pb.units,amendment.Pb.total,MAP.emp,MAP.est,MAT.emp,MAT.est,clim.class,site.soil.orgC,site.soil.totN,site.soil.availP,site.soil.availK,site.soil.pH,site.soil.perc.sand,site.soil.perc.silt,site.soil.perc.clay,site.soil.bulk.dens,site.plant.comm,vegetation.planted,amendment.in.planting.holes,grazed.or.cut,soil.sample.depth,soilC.con.mean,soilC.con.SD,soilC.con.letter,soilC.con.N,soilC.trt.mean,soilC.trt.SD,soilC.trt.letter,soilC.trt.N,soilC.trt.minus.con.paired.mean,soilC.trt.minus.con.paired.SD,soilC.trt.minus.con.paired.N,soilC.reported.comp.sig,soilC.comp.pval,soilC.LSD,soilC.analysis.Fval,soilC.analysis.pval,soilC.notes.analysis.LSD.F.p,soilC.units,soiltotN.con.mean,soiltotN.con.SD,soiltotN.con.letter,soiltotN.con.N,soiltotN.trt.mean,soiltotN.trt.SD,soiltotN.trt.letter,soiltotN.trt.N,soiltotN.trt.minus.con.paired.mean,soiltotN.trt.minus.con.paired.SD,soiltotN.trt.minus.con.paired.N,soiltotN.reported.comp.sig,soiltotN.comp.pval,soiltotN.LSD,soiltotN.analysis.Fval,soiltotN.analysis.pval,soiltotN.notes.analysis.LSD.F.p,soiltotN.units,soilNH4.con.mean,soilNH4.con.SD,soilNH4.con.letter,soilNH4.con.N,soilNH4.trt.mean,soilNH4.trt.SD,soilNH4.trt.letter,soilNH4.trt.N,soilNH4.comp.pval,soilNH4.LSD,soilNH4.analysis.Fval,soilNH4.analysis.pval,soilNH4.notes.analysis.LSD.F.p,soilNH4.units,soilNO3.con.mean,soilNO3.con.SD,soilNO3.con.letter,soilNO3.con.N,soilNO3.trt.mean,soilNO3.trt.SD,soilNO3.trt.letter,soilNO3.trt.N,soilNO3.comp.pval,soilNO3.LSD,soilNO3.analysis.Fval,soilNO3.analysis.pval,soilNO3.notes.analysis.LSD.F.p,soilNO3.units,soilP.con.mean,soilP.con.SD,soilP.con.letter,soilP.con.N,soilP.trt.mean,soilP.trt.SD,soilP.trt.letter,soilP.trt.N,soilP.comp.pval,soilP.LSD,soilP.analysis.Fval,soilP.analysis.pval,soilP.notes.analysis.LSD.F.p,soilP.units,soil_moisture.con.mean,soil_moisture.con.SD,soil_moisture.con.letter,soil_moisture.con.N,soil_moisture.trt.mean,soil_moisture.trt.SD,soil_moisture.trt.letter,soil_moisture.trt.N,soil_moisture.comp.pval,soil_moisture.LSD,soil_moisture.analysis.Fval,soil_moisture.analysis.pval,soil_moisture.notes.analysis.LSD.F.p,soil_moisture.units,soilPb.con.mean,soilPb.con.SD,soilPb.con.letter,soilPb.con.N,soilPb.trt.mean,soilPb.trt.SD,soilPb.trt.letter,soilPb.trt.N,soilPb.comp.pval,soilPb.LSD,soilPb.analysis.Fval,soilPb.analysis.pval,soilPb.notes.analysis.LSD.F.p,soilPb.units,extractable.or.total,labresp.con.mean,labresp.con.SD,labresp.con.letter,labresp.con.N,labresp.trt.mean,labresp.trt.SD,labresp.trt.letter,labresp.trt.N,labresp.comp.pval,labresp.LSD,labresp.analysis.Fval,labresp.analysis.pval,labresp.notes.analysis.LSD.F.p,labresp.units,MBC.con.mean,MBC.con.SD,MBC.con.letter,MBC.con.N,MBC.trt.mean,MBC.trt.SD,MBC.trt.letter,MBC.trt.N,MBC.comp.pval,MBC.LSD,MBC.analysis.Fval,MBC.analysis.pval,MBC.notes.analysis.LSD.F.p,MBC.units,biomass.or.abundance,ANPP.con.mean,ANPP.con.SD,ANPP.con.letter,ANPP.con.N,ANPP.trt.mean,ANPP.trt.SD,ANPP.trt.letter,ANPP.trt.N,ANPP.trt.minus.con.paired.mean,ANPP.trt.minus.con.paired.SD,ANPP.trt.minus.con.paired.N,ANPP.reported.comp.sig,ANPP.comp.pval,ANPP.LSD,ANPP.analysis.Fval,ANPP.analysis.pval,ANPP.notes.analysis.LSD.F.p,ANPP.units,mass.cover.or.growth,sprich.con.mean,sprich.con.SD,sprich.con.letter,sprich.con.N,sprich.trt.mean,sprich.trt.SD,sprich.trt.letter,sprich.trt.N,sprich.reported.comp.sig,sprich.comp.pval,sprich.LSD,sprich.analysis.Fval,sprich.analysis.pval,sprich.notes.analysis.LSD.F.p,sprich.units,speven.con.mean,speven.con.SD,speven.con.letter,speven.con.N,speven.trt.mean,speven.trt.SD,speven.trt.letter,speven.trt.N,speven.reported.comp.sig,speven.comp.pval,speven.analysis.Fval,speven.analysis.pval,speven.notes.analysis.LSD.F.p,speven.units,percent_native.con.mean,percent_native.con.SD,percent_native.con.letter,percent_native.con.N,percent_native.trt.mean,percent_native.trt.SD,percent_native.trt.letter,percent_native.trt.N,percent_native.analysis.Fval,percent_native.analysis.pval,percent_native.notes.analysis.LSD.F.p,percent_native.units,percent_annual.con.mean,percent_annual.con.SD,percent_annual.con.letter,percent_annual.con.N,percent_annual.trt.mean,percent_annual.trt.SD,percent_annual.trt.letter,percent_annual.trt.N,percent_annual.analysis.Fval,percent_annual.analysis.pval,percent_annual.notes.analysis.LSD.F.p,percent_annual.units,percent_grass.con.mean,percent_grass.con.SD,percent_grass.con.letter,percent_grass.con.N,percent_grass.trt.mean,percent_grass.trt.SD,percent_grass.trt.letter,percent_grass.trt.N,percent_grass.analysis.Fval,percent_grass.analysis.pval,percent_grass.notes.analysis.LSD.F.p,percent_grass.units,plantN.con.mean,plantN.con.SD,plantN.con.letter,plantN.con.N,plantN.trt.mean,plantN.trt.SD,plantN.trt.letter,plantN.trt.N,plantN.trt.minus.con.paired.mean,plantN.trt.minus.con.paired.SD,plantN.trt.minus.con.paired.N,plantN.reported.comp.sig,plantN.comp.pval,plantN.LSD,plantN.analysis.Fval,plantN.analysis.pval,plantN.notes.analysis.LSD.F.p,plantN.units,runoffamount.con.mean,runoffamount.con.SD,runoffamount.con.letter,runoffamount.con.N,runoffamount.trt.mean,runoffamount.trt.SD,runoffamount.trt.letter,runoffamount.trt.N,runoffamount.comp.pval,runoffamount.LSD,runoffamount.SED,runoffamount.analysis.pval,runoffamount.notes.analysis.LSD.F.p,runoffamount.units,runoffN.con.mean,runoffN.con.SD,runoffN.con.letter,runoffN.con.N,runoffN.trt.mean,runoffN.trt.SD,runoffN.trt.letter,runoffN.trt.N,runoffN.comp.pval,runoffN.LSD,runoffN.SED,runoffN.analysis.pval,runoffN.notes.analysis.LSD.F.p,runoffN.units,runoffP.con.mean,runoffP.con.SD,runoffP.con.letter,runoffP.con.N,runoffP.trt.mean,runoffP.trt.SD,runoffP.trt.letter,runoffP.trt.N,runoffP.LSD,runoffP.SED,runoffP.analysis.pval,runoffP.notes.analysis.LSD.F.p,runoffP.units,plantPb.con.mean,plantPb.con.SD,plantPb.con.letter,plantPb.con.N,plantPb.trt.mean,plantPb.trt.SD,plantPb.trt.letter,plantPb.trt.N,plantPb.LSD,plantPb.analysis.Fval,plantPb.analysis.pval,plantPb.notes.analysis.LSD.F.p,plantPb.units,soilWHC.con.mean,soilWHC.con.SD,soilWHC.con.letter,soilWHC.con.N,soilWHC.trt.mean,soilWHC.trt.SD,soilWHC.trt.letter,soilWHC.trt.N,soilWHC.analysis.Fval,soilWHC.analysis.pval,soilWHC.notes.analysis.LSD.F.p,soilWHC.units,soilCO2.con.mean,soilCO2.con.SD,soilCO2.con.letter,soilCO2.con.N,soilCO2.trt.mean,soilCO2.trt.SD,soilCO2.trt.letter,soilCO2.trt.N,soilCO2.trt.minus.con.paired.mean,soilCO2.trt.minus.con.paired.SD,soilCO2.trt.minus.con.paired.N,soilCO2.reported.comp.sig,soilCO2.units,soilN2O.con.mean,soilN2O.con.SD,soilN2O.con.letter,soilN2O.con.N,soilN2O.trt.mean,soilN2O.trt.SD,soilN2O.trt.letter,soilN2O.trt.N,soilN2O.comp.pval,soilN2O.units,soilCH4.con.mean,soilCH4.con.SD,soilCH4.con.letter,soilCH4.con.N,soilCH4.trt.mean,soilCH4.trt.SD,soilCH4.trt.letter,soilCH4.trt.N,soilCH4.comp.pval,soilCH4.units
526,LARCHEVEQUE1,Larchevequeetal2006b,1/15/2002,12/15/2002,95.2,95.2,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,,,,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.002,,4,0.017,0.005,,4,p > 0.05,,,,,g / kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,LARCHEVEQUE1,Larchevequeetal2006b,1/15/2002,3/15/2003,47.6,47.6,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,57.3,mg / kg TOTAL,57.3,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.002,,4,0.025,0.016,,4,p < 0.05,,,,,g / kg,,,,,,,,,,,,,,,49,4,a,4,50,4.4,a,4,,,,,,mg / kg TOTAL Pb,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,LARCHEVEQUE1,Larchevequeetal2006b,1/15/2002,3/15/2003,95.2,95.2,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,57.3,mg / kg TOTAL,57.3,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.002,,4,0.019,0.007,,4,p < 0.05,,,,,g / kg,,,,,,,,,,,,,,,49,4,a,4,49,2.4,a,4,,,,,,mg / kg TOTAL Pb,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,LARCHEVEQUE1,Larchevequeetal2006b,1/15/2002,6/15/2003,47.6,47.6,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,,,,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.002,,4,0.022,0.011,,4,p < 0.01,,,,,g / kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,LARCHEVEQUE1,Larchevequeetal2006b,1/15/2002,6/15/2003,95.2,95.2,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,,,,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.002,,4,0.018,0.008,,4,p < 0.01,,,,,g / kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,LARCHEVEQUE1,Larchevequeetal2006b,1/15/2002,10/15/2003,47.6,47.6,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,,,,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.002,,4,0.021,0.015,,4,p < 0.05,,,,,g / kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,LARCHEVEQUE1,Larchevequeetal2006b,1/15/2002,10/15/2003,95.2,95.2,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,,,,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.002,,4,0.017,0.009,,4,p < 0.05,,,,,g / kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,LARCHEVEQUE1,Larchevequeetal2006b,1/15/2002,3/15/2004,47.6,47.6,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,57.3,mg / kg TOTAL,57.3,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.002,,4,0.018,0.013,,4,p > 0.05,,,,,g / kg,,,,,,,,,,,,,,,43,2.4,a,4,57,15.4,a,4,,,,,,mg / kg TOTAL Pb,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,LARCHEVEQUE1,Larchevequeetal2006b,1/15/2002,3/15/2004,95.2,95.2,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,57.3,mg / kg TOTAL,57.3,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.002,,4,0.01,0.007,,4,p > 0.05,,,,,g / kg,,,,,,,,,,,,,,,43,2.4,a,4,42,7.4,a,4,,,,,,mg / kg TOTAL Pb,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,LARCHEVEQUE1,Larchevequeetal2010,1/15/2002,3/15/2002,47.6,47.6,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,57.3,mg / kg TOTAL,57.3,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.15,,4,1.01,0.15,,4,,,,,,,,,,"% N of B. retusum, species with highest cover (70%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275,0.28,,4,1.525,0.285,,4,,,,,mg / kg; total concentrations of Pb were measured after digestion in aqua regia (NF EN 13346 norm) using inductive-coupled plasma-atomic emission spectroscopy (ISO 11-885 norm).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,LARCHEVEQUE1,Larchevequeetal2010,1/15/2002,3/15/2002,95.2,95.2,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,57.3,mg / kg TOTAL,57.3,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.15,,4,1.05,0.13,,4,,,,,,,,,,"% N of B. retusum, species with highest cover (70%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275,0.28,,4,1.925,0.65,,4,,,,,mg / kg; total concentrations of Pb were measured after digestion in aqua regia (NF EN 13346 norm) using inductive-coupled plasma-atomic emission spectroscopy (ISO 11-885 norm).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,LARCHEVEQUE1,Larchevequeetal2010,1/15/2002,4/15/2002,47.6,47.6,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,,,,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.17,,4,0.85,0.16,,4,,,,,,,,,,"% N of B. retusum, species with highest cover (70%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,LARCHEVEQUE1,Larchevequeetal2010,1/15/2002,4/15/2002,95.2,95.2,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,,,,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.17,,4,0.93,0.21,,4,,,,,,,,,,"% N of B. retusum, species with highest cover (70%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,LARCHEVEQUE1,Larchevequeetal2010,1/15/2002,6/15/2002,47.6,47.6,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,,,,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.15,,4,1.13,0.18,,4,,,,,,,,,,"% N of B. retusum, species with highest cover (70%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,LARCHEVEQUE1,Larchevequeetal2010,1/15/2002,6/15/2002,95.2,95.2,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,,,,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.15,,4,1.33,0.09,,4,,,,,,,,,,"% N of B. retusum, species with highest cover (70%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,LARCHEVEQUE1,Larchevequeetal2010,1/15/2002,10/15/2002,47.6,47.6,no,compost,compost.biosolids.greenwaste,13.4,13.4,246.3,246.3,20.3,20.3,NA,1.632,NA,1.081,2.515,2.515,32.4,32.4,NA,1.319,3.2,3.2,NA,3.3,,,,704,704,14.1,14.1,med,39.89,3.6,0.0233,0.2,7.34,NA,NA,NA,1.4,shrubland,none,no,unknown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.06,,4,1.09,0.07,,4,,,,,,,,,,"% N of B. retusum, species with highest cover (70%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
